event_id,published_at,source,asset,event_type,direction_hypothesis,time_horizon,return_1h_pct,return_4h_pct,return_24h_pct,benchmark,abnormal_return_4h_pct,flow_direction,smart_money_direction,technical_direction,hypothesis_alignment,attribution_level,causality_status,confidence,title,url,conclusion
news-025-BTC,2026-07-29T11:56:53+00:00,TechFlow 深潮,BTC,regulation,positive,1d_to_4w,-0.0489,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Nexo 完成欧盟 MiCAR 合规改造，携手两家德国持牌机构服务欧洲市场,https://www.techflowpost.com/newsletter/detail_129991.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-026-BNB,2026-07-29T11:00:04+00:00,Cointelegraph,BNB,exchange,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,Binance disappears from Google Play in certain EU countries,https://cointelegraph.com/news/binance-disappears-android-google-play-certain-eu-countries?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-027-BNB,2026-07-29T10:41:26+00:00,TechFlow 深潮,BNB,exchange,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,TRON DeFi Summer S1 收官倒计时 7 天，$215 万奖池进入最后冲刺,https://www.techflowpost.com/newsletter/detail_129982.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-028-BTC,2026-07-29T07:16:47+00:00,Cointelegraph,BTC,etf,negative,intraday_to_1w,-0.2226,-0.0828,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Bitcoin ETFs extend outflow streak as BTC fails to hold $65K,https://cointelegraph.com/markets/bitcoin-etf-extend-outflow-streak-btc-slips-below-65k?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 -0.08%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-029-BTC,2026-07-28T18:15:25+00:00,Cointelegraph,BTC,regulation,unclear,1d_to_4w,0.266,0.0772,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 +0.08%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-030-BTC,2026-07-28T20:10:46+00:00,Cointelegraph,BTC,market_news,positive,intraday_to_3d,0.0859,0.057,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,"Morgan Stanley expands crypto lineup with Ether, Solana ETPs",https://cointelegraph.com/news/morgan-stanley-expands-crypto-lineup-with-ether-solana-etps?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 +0.06%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-030-SOL,2026-07-28T20:10:46+00:00,Cointelegraph,SOL,market_news,positive,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,"Morgan Stanley expands crypto lineup with Ether, Solana ETPs",https://cointelegraph.com/news/morgan-stanley-expands-crypto-lineup-with-ether-solana-etps?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-045-BTC,2026-07-29T10:37:02+00:00,TechFlow 深潮,BTC,market_news,unclear,intraday_to_3d,0.0585,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,K33 Research：BTC 7月交易量创2023年以来最低,https://www.techflowpost.com/newsletter/detail_129981.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-046-BTC,2026-07-29T09:48:58+00:00,TechFlow 深潮,BTC,market_news,positive,intraday_to_3d,-0.3527,,,,,unavailable,unavailable,unavailable,opposed,L1,temporal_association,0.4,Ionic Digital 纳斯达克首日大涨 26%，Celsius Network 债权人获退出通道,https://www.techflowpost.com/newsletter/detail_129968.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-047-BTC,2026-07-29T03:26:44+00:00,Cointelegraph,BTC,market_news,unclear,intraday_to_3d,0.3377,1.2673,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Celsius-linked Bitcoin miner Ionic Digital gains 26% in Nasdaq debut,https://cointelegraph.com/markets/celsius-bitcoin-miner-ionic-digital-nasdaq-debut?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 +1.27%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
news-048-MARA,2026-07-28T18:08:32+00:00,Cointelegraph,MARA,market_news,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,"Galaxy, MARA Holdings deepen Texas expansion with land acquisitions",https://cointelegraph.com/news/galaxy-mara-texas-land-deals-ai-bitcoin-data-centers?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,MARA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-049-BTC,2026-07-28T16:27:46+00:00,Cointelegraph,BTC,market_news,unclear,intraday_to_3d,-0.558,-0.1963,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,Bitcoin lows pierce $63K as Asia chip-stock crash spreads to Wall Street,https://cointelegraph.com/markets/bitcoin-lows-pierce-63k-as-asia-chip-stock-crash-spills?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC 在事件后 4 小时收益 -0.20%，缺少可用基准，未计算异常收益；多信号关系为 inconclusive，归因等级 L1，不等同于因果证明。
